SHIP,TIMESTAMP,SPEED,LON,LAT
Ship_463,2018-01-01 00:10:00,0,7.586842,48.28649
Ship_463,2018-01-01 01:31:00,4,7.485485277427945,48.185133277427944
Ship_463,2018-01-01 02:09:00,1,7.460902661367298,48.160550661367296
Ship_463,2018-01-01 03:02:00,2,7.492638682236997,48.192286682237
Ship_463,2018-01-01 04:27:00,0,7.492638682236997,48.192286682237
Ship_463,2018-01-01 05:14:00,0,7.492638682236997,48.192286682237
Ship_463,2018-01-01 06:31:00,5,7.36333630274359,48.06298430274359
Ship_463,2018-01-01 07:29:00,1,7.338753686682942,48.03840168668294
Ship_463,2018-01-01 08:53:00,0,7.338753686682942,48.03840168668294
Ship_463,2018-01-01 09:13:00,10,7.1620550006666,47.861703000666594
Ship_463,2018-01-01 10:19:00,8,7.117173489536915,47.816821489536906
Ship_463,2018-01-01 11:35:00,0,7.117173489536915,47.816821489536906
Ship_463,2018-01-01 12:51:00,1,7.131366269536915,47.83101426953691
Ship_463,2018-01-01 13:18:00,6,6.975245689536916,47.67489368953691
Ship_463,2018-01-01 14:58:00,11,7.131366269536915,47.83101426953691
Ship_463,2018-01-01 15:54:00,11,7.394985457807227,48.09463345780722
Ship_463,2018-01-01 16:53:00,3,7.460024946479082,48.15967294647908
Ship_463,2018-01-01 17:31:00,9,7.65358865890443,48.35323665890442
Ship_463,2018-01-01 18:08:00,8,7.807761712604326,48.50740971260432
Ship_463,2018-01-01 19:35:00,6,7.949689512604326,48.64933751260432
Ship_463,2018-01-01 20:13:00,5,7.929617890640548,48.62926589064054
Ship_463,2018-01-01 21:01:00,0,7.929617890640548,48.62926589064054
Ship_463,2018-01-01 22:28:00,10,7.790557614514236,48.490205614514224
Ship_463,2018-01-01 23:21:00,11,7.551376634558752,48.25102463455874
Ship_463,2018-01-02 00:40:00,11,7.6995536079722875,48.39920160797227
Ship_463,2018-01-02 01:29:00,11,7.795813725310188,48.49546172531017
Ship_463,2018-01-02 02:56:00,5,7.824199285310188,48.52384728531017
Ship_463,2018-01-02 03:05:00,1,7.810006505310188,48.509654505310166
Ship_463,2018-01-02 04:38:00,11,7.670946229183875,48.37059422918385
Ship_463,2018-01-02 05:44:00,4,7.581183206924506,48.28083120692448
Ship_463,2018-01-02 06:01:00,11,7.358578150792382,48.05822615079236
Ship_463,2018-01-02 07:20:00,5,7.265509868453439,47.96515786845342
Ship_463,2018-01-02 08:50:00,2,7.285581490417217,47.9852294904172
Ship_463,2018-01-02 09:00:00,8,7.392734629593439,48.092382629593416
Ship_463,2018-01-02 10:27:00,5,7.29752656698434,47.99717456698432
Ship_463,2018-01-02 11:04:00,5,7.387289589243709,48.08693758924369
Ship_463,2018-01-02 12:25:00,4,7.436454821365004,48.136102821364986
Ship_463,2018-01-02 13:33:00,4,7.422262041365004,48.121910041364984
Ship_463,2018-01-02 14:54:00,9,7.6073132523900275,48.30696125239001
Ship_463,2018-01-02 15:42:00,7,7.719964951267982,48.419612951267965
Ship_463,2018-01-02 16:12:00,0,7.719964951267982,48.419612951267965
Ship_463,2018-01-02 17:16:00,7,7.644863818682679,48.34451181868266
Ship_463,2018-01-02 18:17:00,1,7.669446434743326,48.36909443474331
Ship_463,2018-01-02 19:54:00,6,7.6202812026220315,48.31992920262201
Ship_463,2018-01-02 20:27:00,3,7.675249603198417,48.3748976031984
Ship_463,2018-01-02 21:29:00,4,7.65066698713777,48.35031498713775
Ship_463,2018-01-02 22:52:00,8,7.7141390288771685,48.41378702887715
Ship_463,2018-01-02 23:19:00,9,7.5743563568449925,48.274004356844976
Ship_463,2018-01-03 00:50:00,5,7.616934696844993,48.316582696844975
Ship_463,2018-01-03 01:26:00,8,7.716284156844993,48.415932156844974
Ship_463,2018-01-03 02:01:00,11,7.5111015165879875,48.21074951658797
Ship_463,2018-01-03 03:57:00,7,7.4011647154352165,48.1008127154352
Ship_463,2018-01-03 04:08:00,2,7.432900736304916,48.1325487363049
Ship_463,2018-01-03 05:32:00,6,7.2807001269935006,47.98034812699348
Ship_463,2018-01-03 06:07:00,5,7.318250693286152,48.017898693286135
Ship_463,2018-01-03 07:14:00,6,7.454383056741037,48.15403105674102
Ship_463,2018-01-03 08:27:00,2,7.474454678704815,48.1741026787048
Ship_463,2018-01-03 09:26:00,11,7.3138817029945935,48.013529702994575
Ship_463,2018-01-03 10:02:00,3,7.3339533249583715,48.033601324958354
Ship_463,2018-01-03 11:39:00,6,7.491358869675809,48.19100686967579
Ship_463,2018-01-03 12:33:00,0,7.491358869675809,48.19100686967579
Ship_463,2018-01-03 13:54:00,7,7.638170127560682,48.33781812756066
Ship_463,2018-01-03 14:26:00,9,7.81881472523468,48.518462725234656
Ship_463,2018-01-03 15:39:00,9,7.96074252523468,48.660390525234654
Ship_463,2018-01-03 16:19:00,7,8.078636610263827,48.7782846102638
Ship_463,2018-01-03 17:00:00,6,8.223375134608085,48.92302313460806
Ship_463,2018-01-03 18:37:00,9,8.08650492096048,48.786152920960454
Ship_463,2018-01-03 19:11:00,8,7.966075189177813,48.66572318917779
Ship_463,2018-01-03 20:41:00,7,7.826292517145637,48.525940517145614
Ship_463,2018-01-03 21:15:00,3,7.866435761073192,48.566083761073166
Ship_463,2018-01-03 22:45:00,8,7.761179287509511,48.46082728750948
Ship_463,2018-01-03 23:00:00,3,7.798729853802162,48.49837785380213
Ship_463,2018-01-04 00:35:00,2,7.747557057770782,48.44720505777075
Ship_463,2018-01-04 01:07:00,0,7.747557057770782,48.44720505777075
Ship_463,2018-01-04 02:09:00,11,7.467272110600807,48.16692011060078
Ship_463,2018-01-04 03:24:00,6,7.499008131470506,48.19865613147048
Ship_463,2018-01-04 04:26:00,6,7.425260283288564,48.12490828328853
Ship_463,2018-01-04 05:17:00,2,7.449842899349211,48.14949089934918
Ship_463,2018-01-04 06:06:00,10,7.492421239349212,48.19206923934918
Ship_463,2018-01-04 07:38:00,5,7.561951377412369,48.26159937741234
Ship_463,2018-01-04 08:16:00,5,7.593687398282068,48.29333539828204
Ship_463,2018-01-04 09:20:00,10,7.784631724584894,48.484279724584866
Ship_463,2018-01-04 10:24:00,8,7.912366744584895,48.61201474458487
Ship_463,2018-01-04 11:00:00,6,7.865294618592834,48.56494261859281
Ship_463,2018-01-04 12:00:00,9,7.699172387793971,48.39882038779395
Ship_463,2018-01-04 13:44:00,5,7.826116471272769,48.525764471272744
Ship_463,2018-01-04 14:56:00,4,7.860881540304347,48.56052954030432
Ship_463,2018-01-04 15:16:00,4,7.9346293884862895,48.63427738848627
Ship_463,2018-01-04 16:34:00,11,7.67876540832939,48.37841340832937
Ship_463,2018-01-04 17:45:00,10,7.5804349440868,48.280082944086786
Ship_463,2018-01-04 18:18:00,11,7.826670474103588,48.526318474103576
Ship_463,2018-01-04 19:21:00,2,7.8408632541035885,48.54051125410358
Ship_463,2018-01-04 20:38:00,3,7.899381585164742,48.59902958516473
